,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-8,blaOXA-1,blaTEM-15,blaTEM-1B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
NODE_16_length_835_cov_0.607345,ESBL08,NODE_16_length_835_cov_0.607345,misc,M_10,False,False,False,0.607345,835,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_658_cov_11.828625,ESBL08,NODE_17_length_658_cov_11.828625,misc,M_11,False,False,False,11.828625,658,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_639_cov_1.931641,ESBL08,NODE_18_length_639_cov_1.931641,misc,M_12,False,False,False,1.931641,639,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_621_cov_3.014170,ESBL08,NODE_19_length_621_cov_3.014170,misc,M_13,False,False,False,3.014170,621,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_604_cov_0.725367,ESBL08,NODE_20_length_604_cov_0.725367,misc,M_14,False,False,False,0.725367,604,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_21_length_571_cov_1.547297,ESBL08,NODE_21_length_571_cov_1.547297,misc,M_15,False,False,False,1.547297,571,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_22_length_552_cov_11.807059,ESBL08,NODE_22_length_552_cov_11.807059,misc,M_16,False,False,False,11.807059,552,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_23_length_534_cov_2.326781,ESBL08,NODE_23_length_534_cov_2.326781,misc,M_17,False,False,False,2.326781,534,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_24_length_498_cov_1.293801,ESBL08,NODE_24_length_498_cov_1.293801,misc,M_18,False,False,False,1.293801,498,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_25_length_486_cov_2.916435,ESBL08,NODE_25_length_486_cov_2.916435,misc,M_19,False,False,False,2.916435,486,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_26_length_485_cov_2.561453,ESBL08,NODE_26_length_485_cov_2.561453,misc,M_20,False,False,False,2.561453,485,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_27_length_465_cov_12.872781,ESBL08,NODE_27_length_465_cov_12.872781,misc,M_21,False,False,False,12.872781,465,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_28_length_461_cov_2.682635,ESBL08,NODE_28_length_461_cov_2.682635,misc,M_22,False,False,False,2.682635,461,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_29_length_448_cov_0.542056,ESBL08,NODE_29_length_448_cov_0.542056,misc,M_23,False,False,False,0.542056,448,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_30_length_443_cov_3.256329,ESBL08,NODE_30_length_443_cov_3.256329,misc,M_24,False,False,False,3.256329,443,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_31_length_372_cov_15.375510,ESBL08,NODE_31_length_372_cov_15.375510,misc,M_25,False,False,False,15.375510,372,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_32_length_335_cov_9.187500,ESBL08,NODE_32_length_335_cov_9.187500,misc,M_26,False,False,False,9.187500,335,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_33_length_254_cov_10.464567,ESBL08,NODE_33_length_254_cov_10.464567,misc,M_27,False,False,False,10.464567,254,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_35_length_251_cov_9.870968,ESBL08,NODE_35_length_251_cov_9.870968,misc,M_28,False,False,False,9.870968,251,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_34_length_251_cov_12.201613,ESBL08,NODE_34_length_251_cov_12.201613,misc,M_29,False,False,False,12.201613,251,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_37_length_242_cov_5.417391,ESBL08,NODE_37_length_242_cov_5.417391,misc,M_30,False,False,False,5.417391,242,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_36_length_242_cov_7.539130,ESBL08,NODE_36_length_242_cov_7.539130,misc,M_31,False,False,False,7.539130,242,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_38_length_231_cov_19.778846,ESBL08,NODE_38_length_231_cov_19.778846,misc,M_32,False,False,False,19.778846,231,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_39_length_184_cov_4.157895,ESBL08,NODE_39_length_184_cov_4.157895,misc,M_33,False,False,False,4.157895,184,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_40_length_171_cov_4.590909,ESBL08,NODE_40_length_171_cov_4.590909,misc,M_34,False,False,False,4.590909,171,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_41_length_128_cov_412.000000,ESBL08,NODE_41_length_128_cov_412.000000,misc,M_35,False,False,False,412.000000,128,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_91649_cov_17.024989,ESBL08,NODE_8_length_91649_cov_17.024989,plasmid,P_0,True,True,False,17.024989,91649,"['tet(B)', 'IncFIC(FII)']",,,,,,,,,,,,,,29025..29322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82490..83695,
NODE_10_length_87322_cov_17.627203,ESBL08,NODE_10_length_87322_cov_17.627203,plasmid,P_1,True,False,False,17.627203,87322,"['IncFIA', 'IncFIC(FII)']",,,,,,,,,,80808..81191,,,,19999..20499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_14403_cov_15.977305,ESBL08,NODE_12_length_14403_cov_15.977305,plasmid,P_2,True,False,False,15.977305,14403,['IncFIB(AP001918)'],,,,,,,,,,,12440..13121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_1_length_3621669_cov_26.487299,ESBL09,NODE_1_length_3621669_cov_26.487299,chromosome,C_0,False,False,False,26.487299,3621669,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_1525385_cov_21.435451,ESBL09,NODE_2_length_1525385_cov_21.435451,chromosome,C_1,False,True,False,21.435451,1525385,"['blaCTX-M-15', 'mdf(A)', 'tet(34)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611276..612151,,,,,,,,,,,,,,,860136..861368,,,,,,,1186646..1187001,,,
NODE_3_length_122567_cov_16.212096,ESBL09,NODE_3_length_122567_cov_16.212096,misc,M_0,False,False,False,16.212096,122567,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_2931_cov_39.863409,ESBL09,NODE_7_length_2931_cov_39.863409,misc,M_1,False,False,False,39.863409,2931,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_442_cov_1.050794,ESBL09,NODE_12_length_442_cov_1.050794,misc,M_2,False,False,False,1.050794,442,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_300_cov_25.104046,ESBL09,NODE_13_length_300_cov_25.104046,misc,M_3,False,False,False,25.104046,300,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_271_cov_9.750000,ESBL09,NODE_14_length_271_cov_9.750000,misc,M_4,False,False,False,9.750000,271,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_234_cov_14.000000,ESBL09,NODE_16_length_234_cov_14.000000,misc,M_5,False,False,False,14.000000,234,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_234_cov_26.130841,ESBL09,NODE_15_length_234_cov_26.130841,misc,M_6,False,False,False,26.130841,234,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_128_cov_480.000000,ESBL09,NODE_17_length_128_cov_480.000000,misc,M_7,False,False,False,480.000000,128,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_4_length_116370_cov_29.568447,ESBL09,NODE_4_length_116370_cov_29.568447,plasmid,P_0,True,True,False,29.568447,116370,"['blaTEM-1B', 'IncFIB(AP001918)', 'IncFII(29)', 'Col156']",,,,,,63955..64096,,,,,86868..87549,,,,,40407..40665,,,,,,,,,,,,,,,,,,,,,,,,,,,45667..46527,,,,,,,,,,,,,,,,,,,,
NODE_5_length_89289_cov_27.236625,ESBL09,NODE_5_length_89289_cov_27.236625,plasmid,P_1,True,True,False,27.236625,89289,"['blaCTX-M-15', 'blaTEM-1B', 'IncI1']",,,,,,,,,,,,,,,,,,63258..63399,,,,,,,,,,,,,,,,,,,,71959..72834,,,,,75656..76516,,,,,,,,,,,,,,,,,,,,
NODE_6_length_4200_cov_74.550700,ESBL09,NODE_6_length_4200_cov_74.550700,plasmid,P_2,True,False,False,74.550700,4200,['ColRNAI'],,,,,,,,3190..3320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_2204_cov_203.288397,ESBL09,NODE_8_length_2204_cov_203.288397,plasmid,P_3,True,False,False,203.288397,2204,['Col(BS512)'],,889..1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_9_length_1724_cov_302.316844,ESBL09,NODE_9_length_1724_cov_302.316844,plasmid,P_4,True,False,False,302.316844,1724,['Col(MG828)'],,,,265..516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_10_length_1676_cov_330.972886,ESBL09,NODE_10_length_1676_cov_330.972886,plasmid,P_5,True,False,False,330.972886,1676,['Col(MG828)'],,,,218..479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_1560_cov_420.079553,ESBL09,NODE_11_length_1560_cov_420.079553,plasmid,P_6,True,False,False,420.079553,1560,['Col(MG828)'],,,,1299..1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_1_length_2205753_cov_23.707762,ESBL26,NODE_1_length_2205753_cov_23.707762,chromosome,C_0,False,False,False,23.707762,2205753,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_789657_cov_20.151486,ESBL26,NODE_2_length_789657_cov_20.151486,misc,M_0,False,True,False,20.151486,789657,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491457..492689,,,,,,,,,,
NODE_3_length_732839_cov_29.279697,ESBL26,NODE_3_length_732839_cov_29.279697,misc,M_1,False,False,False,29.279697,732839,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_4_length_442018_cov_27.924337,ESBL26,NODE_4_length_442018_cov_27.924337,misc,M_2,False,False,False,27.924337,442018,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_410494_cov_25.289904,ESBL26,NODE_5_length_410494_cov_25.289904,misc,M_3,False,False,False,25.289904,410494,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_324694_cov_25.982056,ESBL26,NODE_6_length_324694_cov_25.982056,misc,M_4,False,False,False,25.982056,324694,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_152465_cov_19.652713,ESBL26,NODE_7_length_152465_cov_19.652713,misc,M_5,False,False,False,19.652713,152465,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_2722_cov_0.998073,ESBL26,NODE_15_length_2722_cov_0.998073,misc,M_6,False,False,False,0.998073,2722,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_558_cov_0.707657,ESBL26,NODE_17_length_558_cov_0.707657,misc,M_7,False,False,False,0.707657,558,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_467_cov_2.597059,ESBL26,NODE_18_length_467_cov_2.597059,misc,M_8,False,False,False,2.597059,467,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_456_cov_2.100304,ESBL26,NODE_19_length_456_cov_2.100304,misc,M_9,False,False,False,2.100304,456,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_128_cov_575.000000,ESBL26,NODE_20_length_128_cov_575.000000,misc,M_10,False,False,False,575.000000,128,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_130061_cov_46.668986,ESBL26,NODE_8_length_130061_cov_46.668986,plasmid,P_0,True,True,False,46.668986,130061,"[""ant(3'')-Ia"", 'IncFIC(FII)', 'dfrA14', 'mph(A)', 'blaCTX-M-14', 'IncFIB(AP001918)', 'tet(B)', 'IncFIA']",,,,,,,,,,86487..86874,102297..102977,,,21404..21701,,,,,,,,,,,,,,,,5201..5368,,,,,,25811..26686,,,,,,,,,,,,,4712..5194,,,,,,9129..10050,,,,,,,126664..127869,
NODE_9_length_97401_cov_22.837058,ESBL26,NODE_9_length_97401_cov_22.837058,plasmid,P_1,True,False,False,22.837058,97401,['p0111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29116..30000,,,,,,,
NODE_10_length_93691_cov_25.434109,ESBL26,NODE_10_length_93691_cov_25.434109,plasmid,P_2,True,False,False,25.434109,93691,['IncB/O/K/Z'],,,,,,,,,63603..63757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_8066_cov_64.851115,ESBL26,NODE_11_length_8066_cov_64.851115,plasmid,P_3,True,False,False,64.851115,8066,['ColRNAI'],,,,,,,,7747..7877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_7577_cov_81.613289,ESBL26,NODE_12_length_7577_cov_81.613289,plasmid,P_4,True,False,False,81.613289,7577,['Col156'],,,,,,6359..6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_5758_cov_65.228379,ESBL26,NODE_13_length_5758_cov_65.228379,plasmid,P_5,True,False,False,65.228379,5758,['ColRNAI'],,,,,,,,628..747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_4199_cov_95.968320,ESBL26,NODE_14_length_4199_cov_95.968320,plasmid,P_6,True,False,False,95.968320,4199,['Col8282'],,,,,,,2793..2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_1679_cov_200.722294,ESBL26,NODE_16_length_1679_cov_200.722294,plasmid,P_7,True,False,False,200.722294,1679,['Col(MG828)'],,,,257..518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_1_length_2370761_cov_19.056926,ESBL01,NODE_1_length_2370761_cov_19.056926,chromosome,C_0,False,False,False,19.056926,2370761,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_724803_cov_21.083406,ESBL01,NODE_2_length_724803_cov_21.083406,misc,M_0,False,False,False,21.083406,724803,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_3_length_562261_cov_20.367510,ESBL01,NODE_3_length_562261_cov_20.367510,misc,M_1,False,False,False,20.367510,562261,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_4_length_297394_cov_17.430811,ESBL01,NODE_4_length_297394_cov_17.430811,misc,M_2,False,False,False,17.430811,297394,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_274949_cov_14.058340,ESBL01,NODE_5_length_274949_cov_14.058340,misc,M_3,False,False,False,14.058340,274949,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_273262_cov_16.179054,ESBL01,NODE_6_length_273262_cov_16.179054,misc,M_4,False,True,False,16.179054,273262,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78796..80028,,,,,,,,,,
NODE_8_length_144519_cov_18.022079,ESBL01,NODE_8_length_144519_cov_18.022079,misc,M_5,False,False,False,18.022079,144519,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_10_length_106186_cov_16.349570,ESBL01,NODE_10_length_106186_cov_16.349570,misc,M_6,False,False,False,16.349570,106186,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_100903_cov_16.046380,ESBL01,NODE_11_length_100903_cov_16.046380,misc,M_7,False,False,False,16.046380,100903,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_72608_cov_19.021619,ESBL01,NODE_12_length_72608_cov_19.021619,misc,M_8,False,False,False,19.021619,72608,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_39838_cov_16.431115,ESBL01,NODE_13_length_39838_cov_16.431115,misc,M_9,False,False,False,16.431115,39838,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_20307_cov_17.199752,ESBL01,NODE_15_length_20307_cov_17.199752,misc,M_10,False,False,False,17.199752,20307,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_15812_cov_23.635894,ESBL01,NODE_16_length_15812_cov_23.635894,misc,M_11,False,False,False,23.635894,15812,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_12983_cov_10.977520,ESBL01,NODE_17_length_12983_cov_10.977520,misc,M_12,False,False,False,10.977520,12983,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_12080_cov_20.331465,ESBL01,NODE_18_length_12080_cov_20.331465,misc,M_13,False,False,False,20.331465,12080,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_9629_cov_17.352557,ESBL01,NODE_19_length_9629_cov_17.352557,misc,M_14,False,False,False,17.352557,9629,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_7828_cov_39.155045,ESBL01,NODE_20_length_7828_cov_39.155045,misc,M_15,False,False,False,39.155045,7828,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_22_length_4871_cov_5.201518,ESBL01,NODE_22_length_4871_cov_5.201518,misc,M_16,False,False,False,5.201518,4871,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
