,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA1,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-3,blaCTX-M-8,blaOXA-1,blaTEM-1B,blaTEM-1C,blaTEM-52B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
NODE_11_length_91689_cov_15.945848,ESBL08,NODE_11_length_91689_cov_15.945848,plasmid,P_1,True,True,False,15.945848,91689,"['tet(B)', 'IncFIC(FII)']",,,,,,,,,,,,,,29037..29334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82530..83735,
NODE_13_length_11672_cov_17.788762,ESBL08,NODE_13_length_11672_cov_17.788762,plasmid,P_2,True,False,False,17.788762,11672,['IncFIB(AP001918)'],,,,,,,,,,,8523..9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_1_length_3123495_cov_27.570117,ESBL09,NODE_1_length_3123495_cov_27.570117,chromosome,C_0,False,False,False,27.570117,3123495,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_1343966_cov_21.118914,ESBL09,NODE_2_length_1343966_cov_21.118914,chromosome,C_1,False,True,False,21.118914,1343966,"['blaCTX-M-3', 'mdf(A)', 'tet(34)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429860..430735,,,,,,,,,,,,,,,678721..679953,,,,,,,1005230..1005585,,,
NODE_3_length_625664_cov_16.894680,ESBL09,NODE_3_length_625664_cov_16.894680,misc,M_0,False,False,False,16.894680,625664,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_4_length_181410_cov_17.501677,ESBL09,NODE_4_length_181410_cov_17.501677,misc,M_1,False,False,False,17.501677,181410,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_9_length_1842_cov_24.891545,ESBL09,NODE_9_length_1842_cov_24.891545,misc,M_2,False,False,False,24.891545,1842,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_543_cov_23.014423,ESBL09,NODE_13_length_543_cov_23.014423,misc,M_3,False,False,False,23.014423,543,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_442_cov_1.050794,ESBL09,NODE_14_length_442_cov_1.050794,misc,M_4,False,False,False,1.050794,442,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_384_cov_31.852140,ESBL09,NODE_15_length_384_cov_31.852140,misc,M_5,False,False,False,31.852140,384,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_376_cov_22.116466,ESBL09,NODE_16_length_376_cov_22.116466,misc,M_6,False,False,False,22.116466,376,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_300_cov_25.104046,ESBL09,NODE_17_length_300_cov_25.104046,misc,M_7,False,False,False,25.104046,300,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_255_cov_37.406250,ESBL09,NODE_18_length_255_cov_37.406250,misc,M_8,False,False,False,37.406250,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_252_cov_13.184000,ESBL09,NODE_19_length_252_cov_13.184000,misc,M_9,False,False,False,13.184000,252,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_21_length_234_cov_14.000000,ESBL09,NODE_21_length_234_cov_14.000000,misc,M_10,False,False,False,14.000000,234,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_234_cov_26.130841,ESBL09,NODE_20_length_234_cov_26.130841,misc,M_11,False,False,False,26.130841,234,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_22_length_128_cov_480.000000,ESBL09,NODE_22_length_128_cov_480.000000,misc,M_12,False,False,False,480.000000,128,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_116380_cov_28.610703,ESBL09,NODE_5_length_116380_cov_28.610703,plasmid,P_0,True,True,False,28.610703,116380,"['blaTEM-1B', 'IncFIB(AP001918)', 'IncFII(29)', 'Col156']",,,,,,63955..64096,,,,,86878..87559,,,,,40407..40665,,,,,,,,,,,,,,,,,,,,,,,,,,,,45667..46527,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_89864_cov_26.877843,ESBL09,NODE_6_length_89864_cov_26.877843,plasmid,P_1,True,True,False,26.877843,89864,"['blaCTX-M-15', 'blaTEM-1B', 'IncI1']",,,,,,,,,,,,,,,,,,63833..63974,,,,,,,,,,,,,,,,,,,,,72534..73409,,,,,76231..77091,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_4200_cov_74.550700,ESBL09,NODE_7_length_4200_cov_74.550700,plasmid,P_2,True,False,False,74.550700,4200,['ColRNAI'],,,,,,,,3190..3320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_2204_cov_203.288397,ESBL09,NODE_8_length_2204_cov_203.288397,plasmid,P_3,True,False,False,203.288397,2204,['Col(BS512)'],,585..817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_10_length_1724_cov_302.316844,ESBL09,NODE_10_length_1724_cov_302.316844,plasmid,P_4,True,False,False,302.316844,1724,['Col(MG828)'],,,,265..516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_1676_cov_330.972886,ESBL09,NODE_11_length_1676_cov_330.972886,plasmid,P_5,True,False,False,330.972886,1676,['Col(MG828)'],,,,218..479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_1560_cov_420.079553,ESBL09,NODE_12_length_1560_cov_420.079553,plasmid,P_6,True,False,False,420.079553,1560,['Col(MG828)'],,,,1299..1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_1_length_2205794_cov_23.592886,ESBL26,NODE_1_length_2205794_cov_23.592886,chromosome,C_0,False,False,False,23.592886,2205794,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_732852_cov_28.986681,ESBL26,NODE_2_length_732852_cov_28.986681,misc,M_0,False,False,False,28.986681,732852,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_3_length_621358_cov_19.898439,ESBL26,NODE_3_length_621358_cov_19.898439,misc,M_1,False,False,False,19.898439,621358,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_4_length_428661_cov_28.214046,ESBL26,NODE_4_length_428661_cov_28.214046,misc,M_2,False,False,False,28.214046,428661,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_410497_cov_25.307253,ESBL26,NODE_5_length_410497_cov_25.307253,misc,M_3,False,False,False,25.307253,410497,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_339834_cov_25.440554,ESBL26,NODE_6_length_339834_cov_25.440554,misc,M_4,False,False,False,25.440554,339834,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_318428_cov_20.476353,ESBL26,NODE_7_length_318428_cov_20.476353,misc,M_5,False,True,False,20.476353,318428,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293820..295052,,,,,,,,,,
NODE_15_length_2724_cov_0.963763,ESBL26,NODE_15_length_2724_cov_0.963763,misc,M_6,False,False,False,0.963763,2724,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_1436_cov_16.288770,ESBL26,NODE_17_length_1436_cov_16.288770,misc,M_7,False,False,False,16.288770,1436,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_826_cov_5.373391,ESBL26,NODE_18_length_826_cov_5.373391,misc,M_8,False,False,False,5.373391,826,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_774_cov_1.438949,ESBL26,NODE_19_length_774_cov_1.438949,misc,M_9,False,False,False,1.438949,774,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_640_cov_13.996101,ESBL26,NODE_20_length_640_cov_13.996101,misc,M_10,False,False,False,13.996101,640,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_21_length_558_cov_0.707657,ESBL26,NODE_21_length_558_cov_0.707657,misc,M_11,False,False,False,0.707657,558,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_22_length_467_cov_2.597059,ESBL26,NODE_22_length_467_cov_2.597059,misc,M_12,False,False,False,2.597059,467,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_23_length_456_cov_2.100304,ESBL26,NODE_23_length_456_cov_2.100304,misc,M_13,False,False,False,2.100304,456,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_24_length_213_cov_12.930233,ESBL26,NODE_24_length_213_cov_12.930233,misc,M_14,False,False,False,12.930233,213,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_25_length_199_cov_26.652778,ESBL26,NODE_25_length_199_cov_26.652778,misc,M_15,False,False,False,26.652778,199,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_26_length_128_cov_575.000000,ESBL26,NODE_26_length_128_cov_575.000000,misc,M_16,False,False,False,575.000000,128,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_130061_cov_45.418081,ESBL26,NODE_8_length_130061_cov_45.418081,plasmid,P_0,True,True,False,45.418081,130061,"[""ant(3'')-Ia"", 'IncFIC(FII)', 'dfrA14', 'mph(A)', 'blaCTX-M-14', 'IncFIB(AP001918)', 'tet(B)', 'IncFIA']",,,,,,,,,,43188..43575,27085..27765,,,108361..108658,,,,,,,,,,,,,,,,,124694..124861,,,,,,103376..104251,,,,,,,,,,,,,,,124868..125350,,,,,,120012..120933,,,,,,,2193..3398,
NODE_9_length_94774_cov_16.649201,ESBL26,NODE_9_length_94774_cov_16.649201,plasmid,P_1,True,False,False,16.649201,94774,['p0111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26149..27033,,,,,,,
NODE_10_length_93691_cov_25.456190,ESBL26,NODE_10_length_93691_cov_25.456190,plasmid,P_2,True,False,False,25.456190,93691,['IncB/O/K/Z'],,,,,,,,,63603..63757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_8066_cov_64.875047,ESBL26,NODE_11_length_8066_cov_64.875047,plasmid,P_3,True,False,False,64.875047,8066,['ColRNAI'],,,,,,,,7619..7749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_7577_cov_81.752349,ESBL26,NODE_12_length_7577_cov_81.752349,plasmid,P_4,True,False,False,81.752349,7577,['Col156'],,,,,,6359..6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_5758_cov_65.302078,ESBL26,NODE_13_length_5758_cov_65.302078,plasmid,P_5,True,False,False,65.302078,5758,['ColRNAI'],,,,,,,,500..619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_4199_cov_96.090619,ESBL26,NODE_14_length_4199_cov_96.090619,plasmid,P_6,True,False,False,96.090619,4199,['Col8282'],,,,,,,2665..2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_1679_cov_201.192010,ESBL26,NODE_16_length_1679_cov_201.192010,plasmid,P_7,True,False,False,201.192010,1679,['Col(MG828)'],,,,257..518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_1_length_962650_cov_17.807473,ESBL01,NODE_1_length_962650_cov_17.807473,misc,M_0,False,False,False,17.807473,962650,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_724812_cov_21.042208,ESBL01,NODE_2_length_724812_cov_21.042208,misc,M_1,False,False,False,21.042208,724812,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
