,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA1,aadA2,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-101,blaCTX-M-116,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-156,blaCTX-M-27,blaCTX-M-8,blaOXA-1,blaTEM-104,blaTEM-105,blaTEM-141,blaTEM-1B,blaTEM-1C,blaTEM-52B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
NODE_17_length_83211_cov_11.031354,ESBL08,NODE_17_length_83211_cov_11.031354,misc,M_16,False,False,False,11.031354,83211,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_81425_cov_12.614763,ESBL08,NODE_18_length_81425_cov_12.614763,misc,M_17,False,False,False,12.614763,81425,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_77220_cov_16.518854,ESBL08,NODE_19_length_77220_cov_16.518854,misc,M_18,False,False,False,16.518854,77220,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_76595_cov_16.054454,ESBL08,NODE_20_length_76595_cov_16.054454,misc,M_19,False,False,False,16.054454,76595,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_21_length_75925_cov_14.158856,ESBL08,NODE_21_length_75925_cov_14.158856,misc,M_20,False,False,False,14.158856,75925,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_22_length_74719_cov_10.816240,ESBL08,NODE_22_length_74719_cov_10.816240,misc,M_21,False,False,False,10.816240,74719,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_23_length_73291_cov_10.783514,ESBL08,NODE_23_length_73291_cov_10.783514,misc,M_22,False,False,False,10.783514,73291,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_24_length_70870_cov_17.503979,ESBL08,NODE_24_length_70870_cov_17.503979,misc,M_23,False,False,False,17.503979,70870,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_25_length_70721_cov_20.323087,ESBL08,NODE_25_length_70721_cov_20.323087,misc,M_24,False,False,False,20.323087,70721,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_26_length_69970_cov_14.308707,ESBL08,NODE_26_length_69970_cov_14.308707,misc,M_25,False,False,False,14.308707,69970,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_27_length_63054_cov_11.111002,ESBL08,NODE_27_length_63054_cov_11.111002,misc,M_26,False,False,False,11.111002,63054,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_28_length_62615_cov_17.182803,ESBL08,NODE_28_length_62615_cov_17.182803,misc,M_27,False,False,False,17.182803,62615,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_29_length_59498_cov_13.665830,ESBL08,NODE_29_length_59498_cov_13.665830,misc,M_28,False,False,False,13.665830,59498,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_30_length_55865_cov_12.046844,ESBL08,NODE_30_length_55865_cov_12.046844,misc,M_29,False,False,False,12.046844,55865,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_31_length_55854_cov_15.997829,ESBL08,NODE_31_length_55854_cov_15.997829,misc,M_30,False,False,False,15.997829,55854,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_32_length_54886_cov_19.051042,ESBL08,NODE_32_length_54886_cov_19.051042,misc,M_31,False,False,False,19.051042,54886,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_33_length_48252_cov_13.805694,ESBL08,NODE_33_length_48252_cov_13.805694,misc,M_32,False,False,False,13.805694,48252,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_34_length_46474_cov_17.369711,ESBL08,NODE_34_length_46474_cov_17.369711,misc,M_33,False,False,False,17.369711,46474,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_35_length_45787_cov_11.186925,ESBL08,NODE_35_length_45787_cov_11.186925,misc,M_34,False,False,False,11.186925,45787,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_36_length_42637_cov_14.747236,ESBL08,NODE_36_length_42637_cov_14.747236,misc,M_35,False,False,False,14.747236,42637,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_37_length_41359_cov_16.386156,ESBL08,NODE_37_length_41359_cov_16.386156,misc,M_36,False,False,False,16.386156,41359,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_38_length_39843_cov_18.844420,ESBL08,NODE_38_length_39843_cov_18.844420,misc,M_37,False,False,False,18.844420,39843,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_39_length_38669_cov_21.192829,ESBL08,NODE_39_length_38669_cov_21.192829,misc,M_38,False,False,False,21.192829,38669,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_40_length_38540_cov_18.457449,ESBL08,NODE_40_length_38540_cov_18.457449,misc,M_39,False,False,False,18.457449,38540,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_41_length_37674_cov_17.744800,ESBL08,NODE_41_length_37674_cov_17.744800,misc,M_40,False,False,False,17.744800,37674,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_42_length_37655_cov_10.972847,ESBL08,NODE_42_length_37655_cov_10.972847,misc,M_41,False,False,False,10.972847,37655,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_43_length_37213_cov_12.361619,ESBL08,NODE_43_length_37213_cov_12.361619,misc,M_42,False,False,False,12.361619,37213,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_44_length_35791_cov_16.829380,ESBL08,NODE_44_length_35791_cov_16.829380,misc,M_43,False,False,False,16.829380,35791,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_45_length_35237_cov_19.749672,ESBL08,NODE_45_length_35237_cov_19.749672,misc,M_44,False,False,False,19.749672,35237,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_46_length_34086_cov_12.884096,ESBL08,NODE_46_length_34086_cov_12.884096,misc,M_45,False,False,False,12.884096,34086,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_47_length_33261_cov_15.138196,ESBL08,NODE_47_length_33261_cov_15.138196,misc,M_46,False,False,False,15.138196,33261,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_48_length_32148_cov_18.332719,ESBL08,NODE_48_length_32148_cov_18.332719,misc,M_47,False,False,False,18.332719,32148,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_49_length_31824_cov_10.425813,ESBL08,NODE_49_length_31824_cov_10.425813,misc,M_48,False,False,False,10.425813,31824,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_50_length_31725_cov_12.306918,ESBL08,NODE_50_length_31725_cov_12.306918,misc,M_49,False,False,False,12.306918,31725,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_51_length_31659_cov_17.516428,ESBL08,NODE_51_length_31659_cov_17.516428,misc,M_50,False,False,False,17.516428,31659,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_52_length_31469_cov_14.659147,ESBL08,NODE_52_length_31469_cov_14.659147,misc,M_51,False,False,False,14.659147,31469,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_53_length_30399_cov_17.144787,ESBL08,NODE_53_length_30399_cov_17.144787,misc,M_52,False,False,False,17.144787,30399,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_54_length_30045_cov_21.510128,ESBL08,NODE_54_length_30045_cov_21.510128,misc,M_53,False,False,False,21.510128,30045,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_55_length_28865_cov_11.811574,ESBL08,NODE_55_length_28865_cov_11.811574,misc,M_54,False,False,False,11.811574,28865,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_56_length_28187_cov_18.166144,ESBL08,NODE_56_length_28187_cov_18.166144,misc,M_55,False,False,False,18.166144,28187,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_57_length_27986_cov_13.056463,ESBL08,NODE_57_length_27986_cov_13.056463,misc,M_56,False,False,False,13.056463,27986,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_58_length_27414_cov_13.719610,ESBL08,NODE_58_length_27414_cov_13.719610,misc,M_57,False,False,False,13.719610,27414,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_59_length_27234_cov_16.463865,ESBL08,NODE_59_length_27234_cov_16.463865,misc,M_58,False,False,False,16.463865,27234,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_60_length_27061_cov_18.248496,ESBL08,NODE_60_length_27061_cov_18.248496,misc,M_59,False,False,False,18.248496,27061,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_61_length_26944_cov_16.559123,ESBL08,NODE_61_length_26944_cov_16.559123,misc,M_60,False,False,False,16.559123,26944,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_62_length_26673_cov_20.734612,ESBL08,NODE_62_length_26673_cov_20.734612,misc,M_61,False,False,False,20.734612,26673,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_63_length_25990_cov_16.106214,ESBL08,NODE_63_length_25990_cov_16.106214,misc,M_62,False,False,False,16.106214,25990,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_64_length_25258_cov_16.636584,ESBL08,NODE_64_length_25258_cov_16.636584,misc,M_63,False,False,False,16.636584,25258,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_65_length_23443_cov_16.368760,ESBL08,NODE_65_length_23443_cov_16.368760,misc,M_64,False,False,False,16.368760,23443,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_66_length_23297_cov_13.552050,ESBL08,NODE_66_length_23297_cov_13.552050,misc,M_65,False,False,False,13.552050,23297,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_67_length_22632_cov_11.246923,ESBL08,NODE_67_length_22632_cov_11.246923,misc,M_66,False,False,False,11.246923,22632,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_68_length_21880_cov_13.257114,ESBL08,NODE_68_length_21880_cov_13.257114,misc,M_67,False,False,False,13.257114,21880,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_69_length_21340_cov_16.708669,ESBL08,NODE_69_length_21340_cov_16.708669,misc,M_68,False,False,False,16.708669,21340,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_70_length_21017_cov_10.581331,ESBL08,NODE_70_length_21017_cov_10.581331,misc,M_69,False,False,False,10.581331,21017,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_71_length_20161_cov_11.469053,ESBL08,NODE_71_length_20161_cov_11.469053,misc,M_70,False,False,False,11.469053,20161,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_72_length_19437_cov_13.981046,ESBL08,NODE_72_length_19437_cov_13.981046,misc,M_71,False,False,False,13.981046,19437,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_73_length_18921_cov_10.338406,ESBL08,NODE_73_length_18921_cov_10.338406,misc,M_72,False,False,False,10.338406,18921,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_74_length_18592_cov_12.285730,ESBL08,NODE_74_length_18592_cov_12.285730,misc,M_73,False,False,False,12.285730,18592,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_75_length_18316_cov_16.000990,ESBL08,NODE_75_length_18316_cov_16.000990,misc,M_74,False,False,False,16.000990,18316,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_76_length_17990_cov_11.450764,ESBL08,NODE_76_length_17990_cov_11.450764,misc,M_75,False,False,False,11.450764,17990,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_77_length_17897_cov_13.862577,ESBL08,NODE_77_length_17897_cov_13.862577,misc,M_76,False,False,False,13.862577,17897,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_78_length_17875_cov_12.800597,ESBL08,NODE_78_length_17875_cov_12.800597,misc,M_77,False,False,False,12.800597,17875,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_79_length_17848_cov_15.866825,ESBL08,NODE_79_length_17848_cov_15.866825,misc,M_78,False,False,False,15.866825,17848,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_80_length_17291_cov_15.066243,ESBL08,NODE_80_length_17291_cov_15.066243,misc,M_79,False,False,False,15.066243,17291,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_81_length_16977_cov_19.034125,ESBL08,NODE_81_length_16977_cov_19.034125,misc,M_80,False,False,False,19.034125,16977,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_84_length_15473_cov_14.172162,ESBL08,NODE_84_length_15473_cov_14.172162,misc,M_81,False,False,False,14.172162,15473,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_85_length_15298_cov_18.538791,ESBL08,NODE_85_length_15298_cov_18.538791,misc,M_82,False,False,False,18.538791,15298,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_86_length_15023_cov_11.152256,ESBL08,NODE_86_length_15023_cov_11.152256,misc,M_83,False,False,False,11.152256,15023,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_87_length_14930_cov_18.192258,ESBL08,NODE_87_length_14930_cov_18.192258,misc,M_84,False,False,False,18.192258,14930,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_88_length_14250_cov_11.189549,ESBL08,NODE_88_length_14250_cov_11.189549,misc,M_85,False,False,False,11.189549,14250,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_89_length_13825_cov_30.270404,ESBL08,NODE_89_length_13825_cov_30.270404,misc,M_86,False,False,False,30.270404,13825,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_90_length_13638_cov_16.657760,ESBL08,NODE_90_length_13638_cov_16.657760,misc,M_87,False,False,False,16.657760,13638,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_91_length_13528_cov_21.052608,ESBL08,NODE_91_length_13528_cov_21.052608,misc,M_88,False,False,False,21.052608,13528,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_92_length_13184_cov_10.317684,ESBL08,NODE_92_length_13184_cov_10.317684,misc,M_89,False,False,False,10.317684,13184,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_93_length_12986_cov_14.836379,ESBL08,NODE_93_length_12986_cov_14.836379,misc,M_90,False,False,False,14.836379,12986,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_94_length_12460_cov_11.285332,ESBL08,NODE_94_length_12460_cov_11.285332,misc,M_91,False,False,False,11.285332,12460,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
